trip_id,date,route_id,driver_id,bus_id,passengers,delay_min,revenue_usd
44,2022-12-07,16,75,99,86,999.0,1967.42
45,14/09/2023,23,3,89,69,0.0,208.94
46,2023-09-28,4,64,53,55,-5.0,1389.96
47,02-22-2022,16,148,33,44,120.0,73.98
48,09/10/2024,22,163,63,9,999.0,1202.5
49,12/05/2022,18,146,17,59,-5.0,181.39
50,04-27-2023,25,168,74,17,0.0,357.21
51,12-09-2024,4,146,66,32,10.0,132.92
52,2023-11-10,17,187,96,80,-5.0,1274.57
53,2024-07-09,12,180,92,31,-5.0,343.31
54,2023-05-24,18,37,88,22,,858.48
55,11-15-2022,21,132,76,65,999.0,1961.62
56,2024-04-23,14,7,42,72,5.0,119.44
57,2022-08-23,20,118,55,8,0.0,1705.91
58,19/01/2023,24,188,27,61,5.0,
59,05-24-2023,23,100,97,5,5.0,562.95
60,15/03/2023,17,70,7,43,999.0,422.55
61,2024-09-25,14,96,98,53,15.0,513.33
62,08-14-2024,14,95,14,31,15.0,1040.72
63,2022-05-15,3,133,21,81,5.0,1654.66
64,2024-03-27,20,68,31,11,120.0,1741.25
65,08-02-2023,11,172,8,89,5.0,1977.94
66,15/08/2024,1,175,64,12,5.0,
67,13/11/2023,10,17,13,71,5.0,163.71
68,2024-08-26,16,51,29,19,-5.0,1155.76
69,10/12/2022,6,172,94,19,999.0,1054.34
70,2024-10-25,2,112,63,63,15.0,727.56
71,2024-02-29,16,88,73,9,5.0,782.09
72,2022-05-29,4,2,54,50,999.0,741.93
73,2023-04-02,23,92,42,78,15.0,1398.91
74,05/11/2022,21,150,83,51,20.0,398.87
75,30/03/2023,6,24,52,89,,451.09
76,29/07/2023,14,196,23,28,999.0,1351.98
77,01-04-2024,1,99,33,32,999.0,840.2
78,2023-05-12,11,86,9,32,,81.85
79,08-13-2024,2,148,96,16,,1361.36
80,02/12/2022,20,115,86,13,-5.0,1487.24
81,28/04/2023,5,126,2,52,999.0,1322.92
82,02-10-2022,25,166,97,47,120.0,495.68
83,2023-04-18,20,124,9,51,999.0,1383.55
84,08-14-2023,24,68,73,56,0.0,1085.66
85,02-09-2024,22,176,20,84,999.0,1284.69
86,02/11/2022,19,167,85,14,5.0,213.27
87,17/10/2024,23,23,5,11,20.0,1464.91
88,2022-08-15,17,118,81,75,20.0,
89,2024-10-03,6,177,97,37,-5.0,1724.9
90,2023-11-02,17,39,82,45,10.0,114.4
91,05-04-2023,4,78,22,47,10.0,1053.87
92,2023-10-20,7,49,69,65,5.0,1830.2
93,2022-09-22,5,67,38,86,-5.0,
94,05/05/2023,15,60,69,72,0.0,1315.16
95,2024-01-17,19,89,99,65,15.0,980.04
96,2022-09-07,12,77,14,80,15.0,206.8
97,2023-11-13,8,8,73,28,999.0,307.93
98,26/02/2023,3,22,24,84,15.0,797.09
99,2022-05-29,17,60,99,54,20.0,1768.46
100,2024-02-06,8,87,17,50,120.0,1434.69
101,2022-03-07,21,148,68,9,120.0,1376.25
102,11-04-2023,20,105,57,60,20.0,455.99
103,2024-01-04,10,117,95,37,-5.0,1610.51
104,11-23-2024,11,105,15,82,10.0,49.43
105,18/04/2023,24,4,15,45,10.0,852.92
106,21/02/2023,11,162,7,27,120.0,134.03
107,2023-06-21,5,86,53,21,,87.7
108,08/06/2024,3,21,20,86,,176.25
109,07-12-2022,12,173,16,29,5.0,1728.66
110,03-02-2023,1,38,27,31,0.0,863.6
111,15/09/2024,1,165,28,55,10.0,
112,2022-10-30,1,200,33,52,999.0,480.56
113,04-13-2022,17,102,41,36,999.0,1525.99
114,2023-09-24,20,12,87,19,,1326.89
115,18/05/2023,8,90,76,60,999.0,1683.25
116,02-23-2023,11,48,19,28,15.0,1693.75
117,09-23-2022,14,54,82,67,10.0,1694.12
118,2024-10-21,21,200,14,26,15.0,1042.74
119,2023-01-08,22,92,28,75,10.0,714.57
120,06-29-2024,24,42,60,37,15.0,1095.1
121,09/02/2022,9,40,63,41,-5.0,1822.43
122,05-30-2024,9,102,17,87,-5.0,1504.18
123,27/04/2022,16,83,19,29,5.0,958.29
124,16/03/2024,8,59,56,86,10.0,874.13
125,30/08/2024,1,137,89,48,15.0,764.07
126,2024-08-06,9,172,91,70,999.0,1449.52
127,2023-03-16,21,75,100,43,0.0,1903.27
128,17/11/2022,16,85,78,71,10.0,363.13
129,2024-03-12,20,158,12,72,15.0,458.55
130,07/04/2024,10,159,83,47,5.0,1442.33
131,11/06/2022,16,151,17,38,0.0,677.36
132,04-04-2022,4,93,94,83,,792.22
133,2022-05-26,11,191,93,75,0.0,584.99
134,09-11-2023,13,68,45,48,,404.23
135,29/06/2024,4,162,86,83,20.0,1184.03
136,07-01-2022,21,23,46,79,,1574.88
137,2024-03-12,11,199,73,12,999.0,875.83
138,15/08/2023,17,132,56,14,15.0,1973.63
139,07-24-2024,24,61,34,12,-5.0,
140,2023-04-23,15,123,30,23,120.0,1954.51
141,02-09-2024,21,168,3,80,0.0,524.02
142,20/01/2022,23,61,14,52,999.0,1530.61
143,11-08-2022,4,63,17,7,999.0,
144,06/12/2022,8,109,1,7,5.0,179.22
145,11-04-2024,21,24,95,45,5.0,768.43
146,12-27-2023,5,3,16,33,10.0,718.27
147,2024-02-20,11,36,65,70,120.0,548.04
148,04-23-2023,12,139,100,30,20.0,
149,01-30-2024,12,76,1,82,5.0,858.14
150,03-31-2024,21,55,73,8,-5.0,1409.16
151,2022-12-28,9,63,39,44,5.0,1739.75
152,2024-03-20,3,137,26,29,0.0,650.41
153,04/11/2023,8,15,4,52,120.0,370.73
154,02/07/2024,5,110,31,7,10.0,824.6
155,18/06/2024,22,111,40,83,10.0,680.09
156,29/08/2024,2,143,95,44,120.0,599.72
157,08-09-2024,1,92,10,13,120.0,441.12
158,05-24-2022,11,59,79,66,20.0,505.51
159,2023-06-07,17,155,87,36,20.0,
160,28/08/2024,10,9,26,15,999.0,816.77
161,20/11/2023,15,25,3,15,15.0,103.23
162,24/08/2024,21,58,30,44,15.0,180.97
163,2023-10-07,6,124,60,64,999.0,671.44
164,05-17-2023,10,140,69,7,120.0,1383.32
165,03/06/2022,21,34,33,32,0.0,1758.92
166,04-19-2024,15,95,2,11,10.0,129.83
167,07-18-2022,7,192,10,18,10.0,1530.73
168,02-03-2024,9,106,31,8,5.0,1447.02
169,2024-09-24,25,148,23,25,120.0,323.28
170,12/07/2022,21,28,56,51,-5.0,652.45
171,16/12/2024,8,7,3,16,120.0,572.46
172,05-18-2023,4,94,40,55,5.0,1637.19
173,2022-11-28,22,166,33,71,999.0,
174,09-17-2023,10,120,9,42,10.0,1440.85
175,2023-10-03,19,13,49,78,-5.0,510.7
176,26/05/2022,17,61,64,18,5.0,1038.76
177,2022-12-19,11,161,69,55,,
178,07/09/2022,3,122,7,34,15.0,1818.22
179,25/12/2022,22,192,27,39,10.0,1529.36
180,31/03/2024,6,188,20,33,5.0,1872.51
181,28/04/2024,2,9,40,65,120.0,26.03
182,05/12/2024,5,128,73,16,999.0,855.71
183,2022-06-22,11,165,44,67,0.0,
184,09-17-2023,9,9,5,90,,1351.26
185,2024-09-23,9,188,55,60,20.0,382.02
186,2022-03-13,22,3,53,50,10.0,1193.01
187,03-14-2024,6,35,30,86,5.0,1277.46
188,04-28-2023,21,158,22,29,5.0,1855.31
189,22/04/2024,23,69,26,66,999.0,665.35
190,2022-09-26,8,178,69,40,10.0,
191,10-21-2022,11,5,23,60,20.0,1078.97
192,2024-01-09,13,19,19,39,,295.88
193,2022-01-28,2,30,89,7,999.0,172.83
194,2024-07-19,16,108,76,68,-5.0,1156.22
195,2023-07-22,11,186,39,51,5.0,1674.02
196,29/12/2024,6,100,99,5,20.0,993.68
197,2023-09-07,18,21,6,71,999.0,1796.73
198,31/07/2024,15,181,52,41,5.0,436.18
199,05/05/2024,10,181,32,72,0.0,872.65
200,07/04/2022,16,75,8,75,20.0,1223.21
201,2023-08-11,1,5,31,35,5.0,518.15
202,17/10/2023,17,159,100,70,5.0,
203,06-03-2023,7,33,70,51,,566.86
204,07-03-2024,7,65,38,18,10.0,1072.53
205,20/05/2022,20,158,80,36,15.0,463.89
206,12-05-2024,22,73,71,62,,1622.68
207,02-07-2022,2,152,53,22,,1612.89
208,05-16-2022,16,192,98,58,10.0,1286.97
209,01-28-2022,6,85,33,77,20.0,1789.34
210,10-02-2024,24,4,68,28,,798.25
211,05-24-2023,22,175,45,57,0.0,1750.34
212,2022-09-23,4,131,24,71,10.0,538.31
213,2023-02-08,15,37,49,23,10.0,1025.12
214,2023-06-24,21,129,82,51,20.0,711.24
215,2024-02-25,25,153,18,21,120.0,1826.59
216,2023-12-10,22,123,29,22,120.0,1924.27
217,12-30-2022,17,66,28,87,120.0,1941.87
218,2024-06-22,6,150,31,75,-5.0,365.68
219,05-10-2022,14,181,57,75,10.0,85.7
220,09/12/2024,19,170,85,43,10.0,1592.58
221,21/01/2023,4,171,26,60,-5.0,545.41
222,12/02/2023,19,171,26,35,15.0,289.89
223,2023-07-13,13,152,13,46,10.0,1703.82
224,05-20-2022,14,49,97,53,999.0,1942.61
225,01-08-2024,9,36,97,83,999.0,383.85
226,02/06/2024,24,158,60,28,15.0,
227,2024-11-23,16,56,43,13,20.0,
228,29/10/2022,1,40,79,13,20.0,530.8
229,03-20-2024,16,30,82,80,120.0,15.11
230,10-12-2023,25,182,17,53,,168.53
231,2023-03-12,13,109,26,57,120.0,393.74
232,02-12-2023,1,108,10,45,15.0,15.2
233,2023-01-25,4,168,37,82,20.0,1823.91
234,30/04/2022,18,189,67,7,20.0,575.84
235,03/10/2024,6,9,42,15,0.0,311.96
236,11-15-2022,19,43,84,53,120.0,1182.93
237,12-05-2024,10,80,46,90,0.0,1991.58
238,16/05/2022,1,178,56,28,15.0,389.0
239,2023-12-16,20,17,74,58,120.0,1993.95
240,2023-04-24,5,28,72,21,10.0,1477.79
241,16/12/2024,21,37,32,86,,56.69
242,04-05-2024,9,101,75,77,-5.0,256.64
243,03-29-2022,5,64,48,60,120.0,
244,2023-07-29,25,14,64,12,5.0,620.31
245,31/01/2024,24,69,17,75,999.0,1134.72
246,13/10/2024,8,162,46,89,-5.0,1375.34
247,28/06/2023,3,93,39,51,-5.0,166.92
248,09/12/2023,12,200,90,8,-5.0,
249,24/07/2024,18,39,40,18,120.0,21.91
250,03-12-2023,18,98,69,81,5.0,1851.3
251,2024-10-22,24,137,100,57,,
252,27/10/2024,3,61,79,41,5.0,120.98
253,2022-09-10,4,12,7,88,,15.19
254,03/02/2023,8,56,78,10,10.0,19.86
255,10-25-2023,8,146,10,14,999.0,693.05
256,25/10/2023,10,148,49,32,,1386.59
257,2023-06-28,10,160,90,52,,
258,2024-05-20,15,53,68,30,10.0,1485.14
259,12-02-2023,1,186,85,50,5.0,1074.8
260,2024-02-28,3,51,29,34,10.0,1102.61
261,04-28-2022,11,165,64,32,-5.0,1025.25
262,02-28-2022,11,181,41,81,15.0,1111.44
263,12-12-2022,4,26,21,46,10.0,1442.49
264,2023-03-10,5,137,45,45,999.0,572.1
265,09-04-2023,12,3,38,35,10.0,1184.51
266,2022-05-16,25,72,62,84,10.0,731.98
267,2024-05-29,14,31,8,62,120.0,499.4
268,07-12-2023,19,97,88,85,120.0,38.82
269,10-16-2022,22,154,31,80,20.0,401.57
270,11-14-2023,20,87,88,70,0.0,213.6
271,04-14-2022,20,184,19,58,15.0,1013.41
272,2024-06-11,14,39,41,43,120.0,1121.81
273,06/05/2023,17,186,2,59,,1700.74
274,08-12-2024,22,13,10,75,5.0,1260.74
275,12-27-2023,9,62,94,82,10.0,1986.94
276,29/12/2024,2,190,25,76,15.0,883.55
277,02/10/2022,11,38,32,55,10.0,429.64
278,2024-11-26,2,169,67,75,0.0,527.39
279,2022-07-17,12,20,30,82,999.0,1000.8
280,02-06-2022,16,39,80,63,10.0,446.86
281,06/01/2024,2,149,93,88,15.0,1202.47
282,21/01/2022,15,67,57,30,5.0,1547.41
283,06-24-2024,22,175,95,52,,564.31
284,01-08-2023,12,188,44,51,20.0,
285,16/10/2024,8,75,65,19,,957.19
286,21/04/2022,3,7,60,56,,1742.55
287,2022-04-30,8,160,29,24,999.0,1525.92
288,02-03-2023,8,184,31,78,20.0,598.28
289,21/10/2022,8,92,1,26,-5.0,1899.3
290,21/03/2024,4,86,73,72,120.0,737.48
291,2022-11-05,4,192,74,61,20.0,
292,2023-03-10,21,103,55,33,-5.0,121.36
293,03-12-2022,14,109,12,62,120.0,1097.39
294,2022-12-24,17,75,88,83,-5.0,1724.3
295,2022-04-04,25,125,93,74,0.0,468.03
296,2022-12-08,14,108,18,69,,1534.39
297,2024-05-16,19,3,53,54,5.0,472.26
298,06-02-2022,4,18,31,85,15.0,619.21
299,05-09-2024,13,109,100,75,5.0,
300,01-29-2024,4,55,49,79,15.0,1430.97
301,01/01/2025,10,190,1,74,-5.0,830.47
302,15/04/2023,19,110,10,10,,1324.57
303,06/01/2024,15,49,88,73,0.0,1124.0
304,09/11/2024,12,28,89,68,5.0,966.36
305,2022-06-10,17,137,83,43,0.0,1604.72
306,19/01/2022,9,131,86,84,999.0,1576.19
307,05-24-2022,1,123,45,25,5.0,1839.21
308,2023-04-16,10,105,94,33,0.0,1068.35
309,06-14-2024,14,166,66,44,5.0,400.4
310,06/12/2023,4,48,1,68,-5.0,
311,2024-12-14,10,103,1,81,20.0,976.98
312,10-16-2023,9,199,39,53,0.0,615.67
313,24/05/2024,4,83,20,14,0.0,122.59
314,03/03/2024,7,184,66,65,0.0,1673.19
315,05/08/2023,14,131,7,7,5.0,1855.96
316,12/09/2022,8,189,50,38,,175.45
317,07-16-2022,25,51,29,72,-5.0,
318,03-24-2024,8,117,74,42,120.0,987.44
319,01/02/2022,25,137,41,39,10.0,697.38
320,02/04/2022,25,124,42,72,5.0,413.34
321,02-02-2023,3,100,87,34,120.0,584.75
322,02-04-2024,19,28,68,70,10.0,1440.66
323,15/06/2022,11,64,54,86,120.0,33.63
324,23/10/2022,11,108,100,59,-5.0,1598.73
325,2022-12-11,17,64,14,66,,1212.73
326,12-03-2024,8,96,63,54,999.0,1958.54
327,22/03/2023,19,138,3,77,999.0,65.99
328,2024-09-14,12,131,66,33,-5.0,
329,01-01-2024,16,97,63,8,999.0,357.23
330,2023-12-08,6,36,97,16,20.0,
331,06/12/2024,16,10,2,23,999.0,334.51
332,10/04/2023,11,70,70,39,-5.0,551.79
333,02-19-2022,12,84,7,55,120.0,1825.74
334,2023-06-19,17,89,25,30,0.0,1766.93
335,20/06/2024,9,115,3,87,15.0,1259.32
336,2022-06-22,1,165,80,78,0.0,1014.98
337,25/09/2024,19,57,81,90,999.0,596.76
338,05-29-2022,18,128,25,60,5.0,1290.3
339,03-24-2022,17,41,98,42,120.0,441.13
340,2023-03-21,22,182,18,39,-5.0,1829.58
341,2024-08-07,20,173,19,58,-5.0,1241.35
342,06-12-2022,7,114,39,87,,1623.16
343,29/11/2022,16,78,77,76,15.0,1163.74
344,26/02/2023,3,177,9,88,10.0,
345,03-18-2022,15,58,2,70,5.0,
346,08/03/2022,11,95,60,60,-5.0,
347,12/05/2023,15,82,26,23,,1629.06
348,2022-09-15,16,4,75,50,20.0,1561.39
349,11-25-2024,5,86,47,44,999.0,1714.94
350,2023-11-15,11,87,7,35,10.0,538.34
351,01-24-2023,9,76,24,21,20.0,1021.79
352,2023-10-18,7,124,53,82,15.0,565.55
353,2023-01-12,15,165,89,27,999.0,1776.18
354,2022-06-03,25,79,19,8,15.0,1845.2
355,08-13-2024,8,22,98,15,10.0,1497.98
356,2023-07-27,25,106,77,24,-5.0,1959.84
357,04/06/2023,13,112,75,11,-5.0,86.79
358,24/08/2024,2,18,15,61,20.0,1076.23
359,09-20-2023,14,164,6,29,0.0,
360,07-07-2022,21,33,39,29,10.0,1815.98
361,19/03/2022,25,28,84,82,0.0,573.83
362,22/03/2024,13,97,14,35,5.0,1984.24
363,2022-06-04,5,24,15,25,999.0,990.54
364,03-11-2024,5,146,71,28,120.0,
365,2024-10-09,5,170,99,63,15.0,1775.99
366,29/10/2023,20,6,96,54,15.0,1946.38
367,27/02/2024,22,173,60,70,15.0,769.36
368,2024-04-23,22,187,82,15,-5.0,872.75
369,10/04/2022,13,100,37,25,,1152.44
370,2024-12-11,2,18,33,54,-5.0,366.73
371,2024-03-13,23,165,55,84,20.0,1409.61
372,2023-02-28,14,13,19,7,-5.0,
373,11-25-2024,12,110,91,71,10.0,1229.09
374,30/08/2022,3,103,33,11,-5.0,137.23
375,10/07/2022,24,71,80,56,15.0,
376,23/06/2023,23,13,33,19,20.0,1700.68
377,2022-07-22,13,151,26,84,-5.0,1455.72
378,08-23-2022,18,44,63,61,,133.68
379,22/07/2023,13,188,85,55,15.0,1938.04
380,18/01/2024,16,113,26,49,,1789.83
381,01-27-2023,10,118,84,69,120.0,149.09
382,04-01-2024,1,167,31,89,,
383,2024-12-26,17,110,80,38,,1726.88
384,2024-12-04,19,143,8,43,0.0,1494.18
385,08-18-2023,25,28,87,41,120.0,841.52
386,07-20-2022,19,102,32,5,-5.0,46.35
387,2022-07-19,17,173,28,53,,1811.03
388,06-24-2022,16,20,93,33,120.0,1555.61
389,18/09/2024,12,68,72,72,5.0,1770.46
390,09/10/2023,12,47,84,58,999.0,164.29
391,2023-05-15,3,179,82,63,15.0,1796.83
392,18/12/2022,15,115,49,37,-5.0,318.7
393,10/03/2023,12,45,16,6,120.0,1313.54
394,2024-09-27,17,142,50,82,999.0,1435.48
395,25/12/2022,19,175,94,61,,1994.85
396,04-21-2024,19,30,41,73,20.0,777.72
397,08-02-2022,15,56,83,57,5.0,1757.13
398,05-03-2023,3,16,74,13,10.0,815.14
399,2022-11-07,24,14,54,23,20.0,1298.91
400,07-06-2023,16,183,45,79,15.0,13.6
401,25/06/2024,15,95,92,28,0.0,
402,02-12-2022,2,80,45,21,999.0,317.24
403,09/07/2024,1,195,22,87,120.0,1198.6
404,30/11/2022,1,134,95,53,120.0,1683.06
405,05-20-2023,6,66,26,81,,1768.78
406,2024-04-19,14,148,49,14,20.0,146.01
407,08/05/2024,25,165,8,81,0.0,819.66
408,15/02/2022,23,135,20,80,20.0,1658.33
409,08/12/2023,8,187,48,39,-5.0,792.52
410,12-24-2023,24,131,58,27,,334.11
411,2022-04-21,10,200,13,66,999.0,1702.11
412,03-28-2022,22,43,40,61,0.0,1945.17
413,2024-08-31,12,196,83,53,5.0,38.13
414,2024-02-05,23,111,40,62,120.0,
415,01/12/2022,11,12,32,59,0.0,
416,04-12-2024,14,113,53,51,15.0,1995.57
417,09-10-2024,25,16,47,48,20.0,642.26
418,25/01/2022,1,54,83,26,999.0,1007.42
419,12/05/2024,14,33,96,46,5.0,1900.23
420,08-10-2024,5,189,68,74,20.0,
421,12-04-2023,19,134,68,26,20.0,1380.86
422,01/07/2022,5,160,56,34,5.0,
423,04/05/2023,9,64,98,14,,1555.18
424,2022-09-08,13,165,12,15,0.0,218.59
425,19/04/2024,22,131,70,58,,246.81
426,2023-06-07,1,142,100,43,10.0,905.51
427,2022-09-18,7,196,99,19,0.0,1402.93
428,04-01-2023,25,191,83,79,-5.0,31.29
429,02-16-2022,12,30,13,42,-5.0,477.32
430,18/03/2023,8,18,20,53,,1730.39
431,2022-08-29,18,111,47,21,10.0,1086.75
432,04-09-2022,24,20,49,51,120.0,1868.73
433,2024-05-05,23,146,80,21,999.0,590.08
434,08-19-2022,25,39,63,34,0.0,300.72
435,03-22-2022,20,66,74,45,20.0,644.71
436,03-06-2023,1,134,11,70,10.0,444.96
437,2022-01-18,16,16,62,62,5.0,1267.13
438,25/10/2023,7,89,45,53,5.0,1785.28
439,19/02/2024,14,38,94,11,20.0,1687.39
440,11/07/2023,20,11,65,45,15.0,622.07
441,11/01/2023,2,105,63,17,120.0,706.85
442,17/03/2024,17,131,10,71,20.0,446.5
443,17/10/2023,11,31,31,56,999.0,575.51
444,2023-05-20,15,198,79,8,20.0,1108.83
445,09-18-2022,18,10,86,42,-5.0,1364.08
446,2022-03-28,19,44,69,86,15.0,
447,11-03-2023,8,174,76,82,15.0,1262.6
448,01-06-2023,19,160,91,70,5.0,
449,03-20-2022,8,83,34,74,20.0,1207.89
450,2022-03-26,4,169,59,80,20.0,273.82
451,01-24-2024,25,30,51,14,999.0,1157.46
452,2022-11-22,2,14,89,80,120.0,209.11
453,09/04/2023,24,121,5,38,999.0,851.24
454,20/01/2023,9,79,49,74,10.0,668.6
455,2022-10-18,10,127,26,9,5.0,341.1
456,06-22-2023,22,78,3,51,0.0,1124.37
457,04-05-2022,13,137,6,21,0.0,88.36
458,2024-02-21,22,52,100,54,999.0,1857.89
459,11-06-2022,7,198,59,23,20.0,1960.48
460,26/12/2022,20,106,46,60,-5.0,1362.17
461,2023-12-10,13,187,21,72,-5.0,620.51
462,07-08-2022,7,97,12,32,,1427.23
463,2023-11-15,4,122,90,82,,1969.3
464,11-14-2022,9,176,7,64,10.0,1443.03
465,05-10-2023,5,78,86,29,-5.0,1060.86
466,27/06/2022,19,135,25,64,120.0,
467,26/12/2022,13,197,69,44,20.0,1530.38
468,02-19-2024,20,137,80,74,20.0,1307.5
469,04-12-2022,8,158,4,19,999.0,108.49
470,2023-04-14,9,64,65,37,,997.19
471,2024-05-29,7,31,71,43,999.0,
472,10-07-2024,8,20,26,23,5.0,1156.51
473,2022-06-07,2,24,89,23,-5.0,1075.39
474,2024-11-13,3,72,88,44,5.0,1660.41
475,12-26-2024,7,120,77,54,0.0,1529.02
476,11-25-2022,3,62,36,42,15.0,1520.86
477,10-16-2022,3,46,70,78,120.0,1040.44
478,01-16-2022,13,42,24,22,120.0,1475.75
479,09/05/2022,21,147,1,38,5.0,
480,01-22-2024,2,123,81,58,-5.0,353.49
481,11-26-2022,6,70,64,54,999.0,764.64
482,08-30-2024,20,31,86,72,15.0,260.63
483,21/12/2024,5,75,24,40,-5.0,840.83
484,12-14-2022,2,109,71,75,999.0,754.95
485,24/01/2024,19,191,26,87,120.0,521.09
486,03/01/2023,19,20,23,55,-5.0,1778.12
487,20/11/2024,20,6,95,90,-5.0,1552.64
488,05-24-2022,14,198,80,86,15.0,1282.33
489,01-09-2023,25,34,70,27,15.0,1206.24
490,2023-12-07,15,36,84,81,-5.0,1609.46
491,31/03/2024,13,133,83,38,-5.0,1478.84
492,27/11/2022,5,102,96,79,999.0,720.28
493,2023-02-06,20,104,36,53,,1148.33
494,2024-11-24,2,15,77,80,15.0,118.05
495,2022-02-14,23,4,66,15,10.0,1327.55
496,03-06-2023,6,149,84,57,,1705.91
497,2022-07-27,25,196,86,68,10.0,1845.91
498,02-27-2022,17,2,86,41,0.0,1283.02
499,2023-10-02,19,35,47,57,5.0,1156.95
500,10-08-2022,20,29,50,40,20.0,1721.65
501,2024-02-25,21,181,19,88,0.0,1886.42
502,02/10/2022,6,72,76,34,-5.0,560.16
503,10-23-2023,22,124,12,45,,447.85
504,06/12/2022,13,118,84,84,10.0,697.33
505,2023-04-07,12,103,35,43,999.0,1418.19
506,18/11/2023,4,95,3,49,10.0,350.19
507,01/02/2023,4,121,98,84,15.0,826.68
508,12-12-2023,14,24,81,61,-5.0,503.69
509,08-31-2024,5,78,42,13,,296.02
510,10-22-2023,16,134,31,40,999.0,
511,2022-07-09,3,93,64,46,5.0,236.93
512,2023-02-07,7,162,19,65,10.0,
513,09-16-2022,2,3,45,13,-5.0,542.69
514,06-10-2024,13,66,48,28,10.0,1007.44
515,09-24-2022,15,159,26,13,5.0,1763.73
516,2023-03-09,6,132,28,48,120.0,1976.38
517,2023-08-27,18,77,43,86,,1523.0
518,11/07/2022,25,58,38,50,120.0,509.99
519,12/03/2024,3,112,15,76,,977.2
520,2023-08-06,3,28,39,71,0.0,1793.29
521,04-12-2023,11,168,80,63,5.0,1170.37
522,10-22-2022,22,47,9,17,-5.0,1046.22
523,06-27-2024,2,166,49,64,-5.0,528.8
524,2022-01-01,11,51,56,78,120.0,111.19
525,14/03/2022,25,76,67,86,120.0,772.78
526,05-15-2022,24,127,76,71,,1387.53
527,27/04/2024,17,135,78,32,0.0,712.45
528,03-27-2024,9,62,69,85,15.0,1028.74
529,2022-05-04,11,173,76,8,0.0,561.3
530,09-16-2024,25,183,80,19,5.0,591.46
531,2024-11-13,19,165,10,39,0.0,1391.65
532,17/10/2023,7,125,52,67,15.0,
533,2022-12-15,19,84,68,16,0.0,
534,2022-12-08,7,88,15,57,999.0,203.15
535,18/01/2024,13,27,98,32,10.0,1517.8
536,15/03/2022,11,190,20,59,120.0,1403.01
537,23/01/2022,18,133,57,78,120.0,635.44
538,06/09/2022,9,184,24,76,5.0,1380.9
539,23/03/2022,5,62,39,71,0.0,
540,12-07-2022,22,122,38,86,20.0,997.27
541,2022-02-16,5,123,94,27,10.0,1028.19
542,27/11/2023,22,69,95,73,120.0,1850.19
543,2024-04-26,13,40,73,72,5.0,1326.44
544,09/05/2024,6,122,36,9,5.0,555.4
545,2024-01-13,6,58,14,87,-5.0,309.76
546,05-23-2024,5,175,61,12,0.0,1427.31
547,04-27-2024,15,56,66,48,0.0,1005.16
548,05-02-2023,18,25,41,59,-5.0,191.9
549,02/10/2023,12,13,25,43,10.0,989.98
550,03-30-2023,2,36,36,74,0.0,661.53
551,08-16-2023,16,67,18,34,15.0,1242.38
552,06-09-2024,6,195,22,42,-5.0,1565.47
553,2024-12-18,5,152,26,7,0.0,454.6
554,06-11-2022,8,32,88,15,10.0,1740.64
555,02-11-2023,9,111,17,23,120.0,
556,05-14-2022,11,73,52,83,0.0,1342.75
557,10-13-2024,19,17,86,55,5.0,
558,2024-03-18,5,141,86,50,5.0,1123.33
